gobject-introspection-runtime 1.86.0-2
gom 0.5.6-1
gperftools 2.18.1-1
gpgme 2.0.1-3
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
granite7 7.8.0-1
graphene 1.10.8-2
graphite 1:1.3.14-6
grep 3.12-2
grilo 0.3.19-1
grilo-plugins 1:0.3.18-1
grim 1.5.0-2
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gsound 1.0.3-4
gspell 1.14.3-1
gssdp 1.6.4-1
gst-devtools-libs 1.28.1-1
gst-editing-services 1.28.1-1
gst-plugin-gtk 1.28.1-1
gst-plugin-gtk4 0.15.1-1
gst-plugin-pipewire 1:1.6.2-1
gst-plugins-bad 1.28.1-1
gst-plugins-bad-libs 1.28.1-1
gst-plugins-base 1.28.1-1
gst-plugins-base-libs 1.28.1-1
gst-plugins-good 1.28.1-1
gst-python 1.28.1-1
gstreamer 1.28.1-1
gtest 1.17.0-2
gtk-layer-shell 0.10.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-2
gtksourceview5 5.18.0-1
guile 3.0.11-1
gupnp 1:1.6.9-1
gupnp-av 0.14.4-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.58.3-1
gvfs-afc 1.58.3-1
gvfs-dnssd 1.58.3-1
gvfs-goa 1.58.3-1
gvfs-google 1.58.3-1
gvfs-gphoto2 1.58.3-1
gvfs-mtp 1.58.3-1
gvfs-nfs 1.58.3-1
gvfs-onedrive 1.58.3-1
gvfs-smb 1.58.3-1
gvfs-wsdd 1.58.3-1
gzip 1.14-2
harfbuzz 13.2.1-1
harfbuzz-icu 13.2.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-2
htop 3.4.1-1
hunspell 1.7.2-3
hwdata 0.405-1
hyphen 2.8.8-6
hyprcursor 0.1.13-4
hyprgraphics 0.5.0-2
hypridle 0.1.7-7
hyprland 0.54.2-2
hyprland-guiutils 0.2.1-2
hyprlang 0.6.8-2
hyprlauncher 0.1.5-2
hyprlock 0.9.3-1
hyprpaper 0.8.3-3
hyprshot 1.3.0-4
hyprtoolkit 0.5.3-1
hyprutils 0.11.1-1
hyprwayland-scanner 0.4.5-1
hyprwire 0.3.0-1
iana-etc 20260306-1
ibus 1.5.33-3
icu 78.3-1
iio-sensor-proxy 3.9-1
ijs 0.35-6
imagemagick 7.1.2.18-1
imath 3.2.2-3
imlib2 1.12.6-1
iniparser 4.2.6-2
